First Level Product Category,Second Level Product Category,Series,External Model,Internal Model,Description,Part No.
General Customized Product,others,IP Camera for Distributors,DH-IPC-HDBW3441R-AS-P-Black,DH-IPC-HDBW3441RP-AS-P-0210B,"4-MP 1/2.7"" CMOS starlight-grade image sensor, low luminance, and high definition image.
Outputs max. 5 MP (2880 ¡Á 1620)@20 fps, and supports 4 MP (2688 ¡Á 1520) @25/30 fps
H.265 codec, high compression rate, ultra-low bit rate.
Built-in IR LED, and the max. illumination distance is 15 m.
ROI, SMART H.264 +/H.265+, AI H.264/H.265, flexible coding, applicable to various bandwidth and storage environments.
Rotation mode, WDR, 3D NR, HLC, BLC, digital watermarking, applicable to various monitoring scenes.
Intelligent monitoring: Intrusion, tripwire (the two functions support the classification and accurate detection of vehicle and human)
Abnormality detection: Motion detection, video tampering, scene changing, audio detection, no SD card, SD card full, SD card error, network disconnection, IP conflict, illegal access, and voltage detection.
Alarm: 1 in, 1 out; audio: 1 in, 1 out; supports max. 256 G Micro SD card; built in MIC.
12 VDC/PoE power supply.
IP 67 protection.
SMD 3.0. 
EPTZ.",1.0.01.04.37581-0018
Network Cameras,WizMind Series,IP Camera for Industries,DH-IPC-HDW5241TM-ASE,DH-IPC-HDW5241TMP-ASE-0280B-S3,"* The parameters and datasheets below can only be applied to 5241-ASE-S3 series. 
2-MP 1/2.8"" CMOS image sensor, low luminance, and high definition image. 
Outputs max. 2MP (1920¡Á1080) @25/30fps. 
Built-in IR LED, and the max. illumination distance is 30 m. 
ROI, SVC, SMART H.264+/H.265+, AI H.264/H.265, encoding after filter, flexible coding, applicable to various bandwidth and storage environments. 
Rotation mode, WDR, 3D NR, HLC, BLC, digital watermarking, applicable to various monitoring scenes. 
With deep learning algorithm, it supports: video metadata, smart sound detection, IVS, face detection, smart object detection, and people counting, etc. 
Alarm: 1 in, 1 out; audio: 1 in, 1 out; supports max. 1 TB Micro SD card, built-in MIC. 
12 VDC/PoE power supply; ePoE. 
IP67 protection. 
SMD 3.0.",1.0.01.04.40367-9001
Network Cameras,WizMind Series,IP Camera for Industries,DH-IPC-HFW5241E-Z12E,DH-IPC-HFW5241EP-ZE-0560-S3,"* The parameters and datasheets below can only be applied to 5241-Z-S3 series. 
2-MP 1/2.8"" CMOS image sensor, low luminance, and high definition image. 
Outputs max. 2MP (1920¡Á1080) @25/30 fps.
Built-in IR LED, and the max. illumination distance is 150 m. 
ROI, SVC, SMART H.264+/H.265+, AI H.264/H.265, encoding after filter, flexible coding, applicable to various bandwidth and storage environments. 
Rotation mode, WDR, 3D NR, HLC, BLC, digital watermarking, applicable to various monitoring scenes. 
With deep learning algorithm, it supports: video metadata, smart sound detection, IVS, face detection, smart object detection, and people counting, etc. 
Alarm: 2 in, 1 out; audio: 1 in, 1 out; supports max. 1 TB Micro SD card, built-in MIC.
24V AC/12 VDC/PoE power supply; ePoE.
IP67 and IK10 protection.
SMD 3.0.",1.0.01.04.40867-9001
Network Cameras,WizMind Series,IP Camera for Industries,DH-IPC-HFW5241E-Z5E,DH-IPC-HFW5241EP-ZE-0735-S3,"* The parameters and datasheets below can only be applied to 5241-Z-S3 series. 
2-MP 1/2.8"" CMOS image sensor, low luminance, and high definition image. 
Outputs max. 2MP (1920¡Á1080) @25/30 fps.
Built-in IR LED, and the max. illumination distance is 120 m. 
ROI, SVC, SMART H.264+/H.265+, AI H.264/H.265, encoding after filter, flexible coding, applicable to various bandwidth and storage environments. 
Rotation mode, WDR, 3D NR, HLC, BLC, digital watermarking, applicable to various monitoring scenes. 
With deep learning algorithm, it supports: video metadata, smart sound detection, IVS, face detection, smart object detection, and people counting, etc.
Alarm: 2 in, 1 out; audio: 1 in, 1 out; supports max. 1 TB Micro SD card, built-in MIC.
24V AC/12 VDC/PoE power supply; ePoE.
IP67 and IK10 protection.
SMD 3.0.",1.0.01.04.40738-9001
Network Cameras,WizMind Series,IP Camera for Industries,DH-IPC-HFW5241E-ZE,DH-IPC-HFW5241EP-ZE-27135-S3,"* The parameters and datasheets below can only be applied to 5241-Z-S3 series. 
2-MP 1/2.8"" CMOS image sensor, low luminance, and high definition image. 
Outputs max. 2MP (1920¡Á1080) @25/30 fps.
Built-in IR LED, and the max. illumination distance is 60 m. 
ROI, SVC, SMART H.264+/H.265+, AI H.264/H.265, encoding after filter, flexible coding, applicable to various bandwidth and storage environments. 
Rotation mode, WDR, 3D NR, HLC, BLC, digital watermarking, applicable to various monitoring scenes. 
With deep learning algorithm, it supports: video metadata, smart sound detection, IVS, face detection, smart object detection, and people counting, etc. 
Alarm: 2 in, 1 out; audio: 1 in, 1 out; supports max. 1 TB Micro SD card, built-in MIC.
24V AC/12 VDC/PoE power supply; ePoE.
IP67 and IK10 protection.
SMD 3.0.",1.0.01.04.40736-9001
Network Cameras,WizMind Series,IP Camera for Industries,DH-IPC-HDBW5241E-Z5E,DH-IPC-HDBW5241EP-ZE-0735-DC12AC24V-S3,"* The parameters and datasheets below can only be applied to 5241-Z-S3 series. 
2-MP 1/2.8"" CMOS image sensor, low luminance, and high definition image. 
Outputs max. 2MP (1920¡Á1080) @25/30 fps.
Built-in IR LED, and the max. illumination distance is 80 m. 
ROI, SVC, SMART H.264+/H.265+, AI H.264/H.265, encoding after filter, flexible coding, applicable to various bandwidth and storage environments. 
Rotation mode, WDR, 3D NR, HLC, BLC, digital watermarking, applicable to various monitoring scenes. 
With deep learning algorithm, it supports: video metadata, smart sound detection, IVS, face detection, smart object detection, and people counting, etc.
Alarm: 2 in, 1 out; audio: 1 in, 1 out; supports max. 1 TB Micro SD card, built-in MIC.
24V AC/12 VDC/PoE power supply; ePoE.
IP67 and IK10 protection.
SMD 3.0.",1.0.01.04.40728-9001
Network Cameras,WizMind Series,IP Camera for Industries,DH-IPC-HDBW5241E-ZE,DH-IPC-HDBW5241EP-ZE-27135-DC12AC24V-S3,"* The parameters and datasheets below can only be applied to 5241-Z-S3 series. 
2-MP 1/2.8"" CMOS image sensor, low luminance, and high definition image. 
Outputs max. 2MP (1920¡Á1080) @25/30 fps.
Built-in IR LED, and the max. illumination distance is 40 m. 
ROI, SVC, SMART H.264+/H.265+, AI H.264/H.265, encoding after filter, flexible coding, applicable to various bandwidth and storage environments. 
Rotation mode, WDR, 3D NR, HLC, BLC, digital watermarking, applicable to various monitoring scenes. 
With deep learning algorithm, it supports: video metadata, smart sound detection, IVS, face detection, smart object detection, and people counting, etc. 
Alarm: 2 in, 1 out; audio: 1 in, 1 out; supports max. 1 TB Micro SD card, built-in MIC.
24V AC/12 VDC/PoE power supply; ePoE.
IP67 and IK10 protection.
SMD 3.0.",1.0.01.04.40726-9001
Network Cameras,WizMind Series,IP Camera for Industries,DH-IPC-HDW5241T-ZE,DH-IPC-HDW5241TP-ZE-27135-S3,"* The parameters and datasheets below can only be applied to 5241-Z-S3 series. 
2-MP 1/2.8"" CMOS image sensor, low luminance, and high definition image. 
Outputs max. 2MP (1920¡Á1080) @25/30 fps.
Built-in IR LED, and the max. illumination distance is 40 m. 
ROI, SVC, SMART H.264+/H.265+, AI H.264/H.265, encoding after filter, flexible coding, applicable to various bandwidth and storage environments. 
Rotation mode, WDR, 3D NR, HLC, BLC, digital watermarking, applicable to various monitoring scenes. 
With deep learning algorithm, it supports: video metadata, IVS, face detection, smart object detection, and people counting, etc. 
supports max. 1 TB Micro SD card, built-in MIC.
12 VDC/PoE power supply; ePoE.
IP67 protection.
SMD 3.0.",1.0.01.04.40656-9001
Network Cameras,WizMind Series,IP Camera for Industries,DH-IPC-HF5241F-ZE,DH-IPC-HF5241FP-ZE-S3,"* The parameters and datasheets below can only be applied to 5241-Z-S3 series. 
2-MP 1/2.8"" CMOS image sensor, low luminance, and high definition image. 
Outputs max. 2MP (1920¡Á1080) @25/30 fps.
ROI, SVC, SMART H.264+/H.265+, AI H.264/H.265, encoding after filter, flexible coding, applicable to various bandwidth and storage environments. 
Rotation mode, WDR, 3D NR, HLC, BLC, digital watermarking, applicable to various monitoring scenes. 
With deep learning algorithm, it supports: video metadata, smart sound detection, IVS, face detection, smart object detection, and people counting, etc. 
Alarm: 2 in, 2 out; audio: 2 in, 1 out; 485; BNC; supports max. 1 TB Micro SD card, built-in MIC.
24 VAC/12 VDC/PoE power supply; ePoE.
SMD 3.0.",1.0.01.04.40652-9001
Network Cameras,WizMind Series,IP Camera for Industries,DH-IPC-HFW5241E-ASE,DH-IPC-HFW5241EP-ASE-0600B-S3,"* The parameters and datasheets below can only be applied to 5241-ASE-S3 series. 
2-MP 1/2.8"" CMOS image sensor, low luminance, and high definition image. 
Outputs max. 2 MP (1920¡Á1080) @25/30fps. 
Built-in IR LED, and the max. illumination distance is 50 m. 
ROI, SVC, SMART H.264+/H.265+, AI H.264/H.265, encoding after filter, flexible coding, applicable to various bandwidth and storage environments. 
Rotation mode, WDR, 3D NR, HLC, BLC, digital watermarking, applicable to various monitoring scenes. 
With deep learning algorithm, it supports: video metadata, smart sound detection, IVS, face detection, smart object detection, and people counting, etc. 
Alarm: 1 in, 1 out; audio: 1 in, 1 out; supports max. 1 TB Micro SD card, built-in MIC. 
12 VDC/PoE power supply; ePoE. 
IP67 protection. 
SMD 3.0.",1.0.01.04.40488-9001
