Catelog Name,First Product Line,Second Product Line,Part Num,Internal Model,External Model,Min Price,Area Price,Standard Price,Release Status
HDCVI Recorders,General Storage,HCVR,1.0.01.01.10050,DHI-HCVR5104HE-V2,DHI-HCVR5104HE-V2,48.0,58.0,73.0,UnReleased
HDCVI Recorders,General Storage,HCVR,1.0.01.01.10053,DHI-HCVR5204A-V2,DHI-HCVR5204A-V2,22.0,22.0,22.0,UnReleased
HDCVI Recorders,General Storage,HCVR,1.0.01.01.10059,DHI-HCVR5216A-V2,DHI-HCVR5216A-V2,139.0,150.0,165.0,UnReleased
HDCVI Recorders,General Storage,ATM,1.0.01.01.10109,DHI-HCVR0804AH-VD,DHI-HCVR0804AH-VD,250.0,270.0,300.0,UnReleased
HDCVI Recorders,General Storage,ATM,1.0.01.01.10110,DHI-HCVR0404AH-VFD,DHI-HCVR0404AH-VFD,240.0,260.0,290.0,UnReleased
HDCVI Recorders,General Storage,ATM,1.0.01.01.10113,HCVR0404AH-VFD,HCVR0404AH-VFD,240.0,260.0,290.0,UnReleased
HDCVI Recorders,General Storage,ATM,1.0.01.01.10114,DH-HCVR0404AH-VFD,DH-HCVR0404AH-VFD,240.0,260.0,290.0,UnReleased
,General Storage,HCVR,1.0.01.01.10128#0049,DHI-DVR5104C-V2,DHI-DVR5104C-V2,15.0,15.0,15.0,UnReleased
Matrix,Central Control,Display Control,1.0.01.01.10156,M60-7U,M60-7U,3300.0,3800.0,4800.0,UnReleased
Matrix,Central Control,Display Control,1.0.01.01.10193-0008,DHI-DSCON3000-4U,DHI-DSCON3000-4U,1400.0,1650.0,1800.0,Released
Matrix,Central Control,Display Control,1.0.01.01.10195,DSCON3000-4U,DSCON3000-4U,1400.0,1650.0,1800.0,UnReleased
Matrix,Central Control,Display Control,1.0.01.01.10224,DHI-DSCON3000-7U,DHI-DSCON3000-7U,2300.0,2600.0,3100.0,UnReleased
Matrix,Central Control,Display Control,1.0.01.01.10224-0004,DHI-DSCON3000-7U,DHI-DSCON3000-7U,2300.0,2600.0,3100.0,UnReleased
Matrix,Central Control,Display Control,1.0.01.01.10226,DSCON3000-7U,DSCON3000-7U,2300.0,2600.0,3100.0,UnReleased
Matrix,Central Control,Display Control,1.0.01.01.10254,DHI-M60-7U,DHI-M60-7U,3300.0,3800.0,4800.0,UnReleased
Matrix,Central Control,Display Control,1.0.01.01.10266,VEC0804HC-M70,VEC0804HC-M70,350.0,400.0,500.0,UnReleased
HDCVI Recorders,General Storage,HCVR,1.0.01.01.10403,DHI-HCVR5816S-V2,DHI-HCVR5816S-V2,260.0,290.0,330.0,UnReleased
HDCVI Recorders,General Storage,HCVR,1.0.01.01.10429,DVR7808S-U-PSN,K-HW508K/CH,248.44,248.44,248.44,UnReleased
HDCVI Recorders,General Storage,HCVR,1.0.01.01.10430,DVR7816S-U-PSN,K-HW516K/CH,275.23,275.23,275.23,UnReleased
Matrix,Central Control,Display Control,1.0.01.01.10457,DHI-M70-4U,DHI-M70-4U,1200.0,1500.0,1800.0,UnReleased
Matrix,Central Control,Display Control,1.0.01.01.10521,VEC0804HS-M70,VEC0804HS-M70,350.0,400.0,500.0,UnReleased
Matrix,Central Control,Display Control,1.0.01.01.10522,VEC3204FB-M70,VEC3204FB-M70,350.0,400.0,500.0,UnReleased
HDCVI Recorders,General Storage,HCVR,1.0.01.01.10531,HCVR5216A-V2_HRH116*(X)_Honeywell-HSG-Omega,HCVR5216A-V2_HRH116*(X)_Honeywell,160.0,160.0,160.0,UnReleased
HDCVI Recorders,General Storage,HCVR,1.0.01.01.10571,DHI-HCVR4116HS-S2,DHI-HCVR4116HS-S2,65.0,72.0,82.0,UnReleased
HDCVI Recorders,General Storage,HCVR,1.0.01.01.10573,HCVR4116HS-S2,HCVR4116HS-S2,20.0,20.0,20.0,UnReleased
HDCVI Recorders,General Storage,HCVR,1.0.01.01.10574,HCVR4216AN-S2,HCVR4216AN-S2,86.0,96.0,110.0,UnReleased
HDCVI Recorders,General Storage,HCVR,1.0.01.01.10577,DHI-HCVR5104H-S2,DHI-HCVR5104H-S2,41.0,46.0,55.0,UnReleased
HDCVI Recorders,General Storage,HCVR,1.0.01.01.10579,HCVR5104H-S2,HCVR5104H-S2,41.0,46.0,55.0,UnReleased
HDCVI Recorders,General Storage,HCVR,1.0.01.01.10583,HCVR5108C-S2,HCVR5108C-S2,58.0,64.0,75.0,UnReleased
HDCVI Recorders,General Storage,HCVR,1.0.01.01.10586,DHI-HCVR5116H-S2,DHI-HCVR5116H-S2,110.0,125.0,140.0,UnReleased
HDCVI Recorders,General Storage,HCVR,1.0.01.01.10588,HCVR5116H-S2,HCVR5116H-S2,110.0,125.0,140.0,UnReleased
HDCVI Recorders,General Storage,ATM,1.0.01.01.10591,DH-HCVR0404AG-VD,DH-HCVR0404AG-VD,140.0,160.0,190.0,UnReleased
HDCVI Recorders,General Storage,HCVR,1.0.01.01.10604,DHI-HCVR5216A-S2,DHI-HCVR5216A-S2,139.0,150.0,165.0,UnReleased
HDCVI Recorders,General Storage,HCVR,1.0.01.01.10605,DHI-HCVR7208A-S2,DHI-HCVR7208A-S2,115.0,125.0,150.0,UnReleased
HDCVI Recorders,General Storage,HCVR,1.0.01.01.10607,HCVR7208A-S2,HCVR7208A-S2,115.0,125.0,150.0,UnReleased
HDCVI Recorders,General Storage,HCVR,1.0.01.01.10610,DHI-HCVR5104HE-S2,DHI-HCVR5104HE-S2,48.0,55.0,70.0,UnReleased
HDCVI Recorders,General Storage,HCVR,1.0.01.01.10627,DHI-HCVR5104H-S2,DHI-HCVR5104H-S2,41.0,46.0,55.0,UnReleased
HDCVI Recorders,General Storage,HCVR,1.0.01.01.10628,DHI-HCVR5108H-S2,DHI-HCVR5108H-S2,4.0,4.0,4.0,UnReleased
HDCVI Recorders,General Storage,HCVR,1.0.01.01.10634,DHI-HCVR7416L,DHI-HCVR7416L,4.0,4.0,4.0,UnReleased
HDCVI Recorders,General Storage,HCVR,1.0.01.01.10637,DHI-HCVR7816S,DHI-HCVR7816S,4.0,4.0,4.0,UnReleased
HDCVI Recorders,General Storage,HCVR,1.0.01.01.10646,DHI-HCVR5104H-S2,DHI-HCVR5104H-S2,41.0,46.0,55.0,UnReleased
HDCVI Recorders,General Storage,HCVR,1.0.01.01.10652,DHI-HCVR7408L(V2.0),DHI-HCVR7408L(V2.0),4.0,4.0,4.0,UnReleased
HDCVI Recorders,General Storage,HCVR,1.0.01.01.10653,DHI-HCVR7416L,DHI-HCVR7416L,4.0,4.0,4.0,UnReleased
HDCVI Recorders,General Storage,HCVR,1.0.01.01.10656,DHI-HCVR7816S,DHI-HCVR7816S,,,,UnReleased
HDCVI Recorders,General Storage,HCVR,1.0.01.01.10669,HCVR5108HE-S2,HCVR5108HE-S2,19.0,19.0,19.0,UnReleased
HDCVI Recorders,General Storage,HCVR,1.0.01.01.10673,DHI-HCVR7104HE-S2,DHI-HCVR7104HE-S2,65.0,73.0,90.0,UnReleased
HDCVI Recorders,General Storage,HCVR,1.0.01.01.10679,DHI-HCVR5208A-S2,DHI-HCVR5208A-S2,99.0,110.0,125.0,UnReleased
HDCVI Recorders,General Storage,HCVR,1.0.01.01.10681,DHI-HCVR7204A-S2,DHI-HCVR7204A-S2,4.0,4.0,4.0,UnReleased
HDCVI Recorders,General Storage,HCVR,1.0.01.01.10695,DHI-HCVR5116HE-S2,DHI-HCVR5116HE-S2,119.0,135.0,155.0,UnReleased
HDCVI Recorders,General Storage,HCVR,1.0.01.01.10703,DHI-HCVR5104HE-S2,DHI-HCVR5104HE-S2,48.0,55.0,70.0,UnReleased
HDCVI Recorders,General Storage,HCVR,1.0.01.01.10707,DHI-HCVR5208A-S2,DHI-HCVR5208A-S2,99.0,110.0,125.0,UnReleased
HDCVI Recorders,General Storage,HCVR,1.0.01.01.10721,DHI-HCVR5104HE-S2,DHI-HCVR5104HE-S2,48.0,55.0,70.0,UnReleased
HDCVI Recorders,General Storage,HCVR,1.0.01.01.10738,HCVR7416L-Flir,HCVR7416L-Flir,412.0,412.0,412.0,UnReleased
HDCVI Recorders,General Storage,HCVR,1.0.01.01.10750,HCVR5104H-S2,HCVR5104H-S2,,,,UnReleased
HDCVI Recorders,General Storage,HCVR,1.0.01.01.10773,DHI-HCVR7816S-URH,DHI-HCVR7816S-URH,500.0,580.0,680.0,UnReleased
HDCVI Recorders,General Storage,HCVR,1.0.01.01.10774,HCVR7816S-URH,HCVR7816S-URH,500.0,580.0,680.0,UnReleased
HDCVI Recorders,General Storage,ATM,1.0.01.01.10775,HCVR0404AG-VD,HCVR0404AG-VD,140.0,160.0,190.0,UnReleased
HDCVI Recorders,General Storage,HCVR,1.0.01.01.10783,DHI-HCVR4224L-S2,DHI-HCVR4224L-S2,170.0,200.0,240.0,UnReleased
HDCVI Recorders,General Storage,HCVR,1.0.01.01.10785,DHI-HCVR4232L-S2,DHI-HCVR4232L-S2,200.0,230.0,270.0,UnReleased
HDCVI Recorders,General Storage,HCVR,1.0.01.01.10787,DHI-HCVR4224AN-S2,DHI-HCVR4224AN-S2,115.0,130.0,150.0,UnReleased
HDCVI Recorders,General Storage,HCVR,1.0.01.01.10788,HCVR4224AN-S2,HCVR4224AN-S2,115.0,130.0,150.0,UnReleased
HDCVI Recorders,General Storage,HCVR,1.0.01.01.10790,DHI-HCVR4232AN-S2,DHI-HCVR4232AN-S2,140.0,160.0,190.0,UnReleased
MPT,General Storage,Mobile Portable Terminal,1.0.01.01.10794,MAE-D100,MAE-D100,20.0,25.0,30.0,UnReleased
HDCVI Recorders,General Storage,HCVR,1.0.01.01.10815,HCVR5104H-S2,HCVR5104H-S2-Amcrest,,,,UnReleased
HDCVI Recorders,General Storage,HCVR,1.0.01.01.10854,DHI-HCVR5104H-S2,DH-HCVR5104H-S2,,,,UnReleased
HDCVI Recorders,General Storage,ATM,1.0.01.01.10858,DH-HCVR0404AH-VFD-I,DH-HCVR0404AH-VFD-I,400.0,500.0,600.0,UnReleased
HDCVI Recorders,General Storage,HCVR,1.0.01.01.10872,DHI-HCVR5424L-S2,DHI-HCVR5424L-S2,330.0,360.0,420.0,UnReleased
HDCVI Recorders,General Storage,HCVR,1.0.01.01.10873,DHI-HCVR5432L-S2,DHI-HCVR5432L-S2,360.0,390.0,450.0,UnReleased
HDCVI Recorders,General Storage,HCVR,1.0.01.01.10874,HCVR5424L-S2,HCVR5424L-S2,330.0,360.0,420.0,UnReleased
HDCVI Recorders,General Storage,HCVR,1.0.01.01.10875,HCVR5824S-S2,HCVR5824S-S2,380.0,420.0,490.0,UnReleased
HDCVI Recorders,General Storage,HCVR,1.0.01.01.10876,HCVR5432L-S2,HCVR5432L-S2,360.0,390.0,450.0,UnReleased
HDCVI Recorders,General Storage,HCVR,1.0.01.01.10880,DHI-HCVR5832S-S2,DHI-HCVR5832S-S2,420.0,460.0,530.0,UnReleased
HDCVI Recorders,General Storage,HCVR,1.0.01.01.10881,HCVR5832S-S2,HCVR5832S-S2,420.0,460.0,530.0,UnReleased
HDCVI Recorders,General Storage,HCVR,1.0.01.01.10887,HCVR5104H-S2-FLIR,HCVR5104H-S2-FLIR,51.0,51.0,51.0,UnReleased
Project Accessories,Central Control,Display Control,1.0.01.01.10902,NVD0405DH-4K,NVD0405DH-4K,350.0,400.0,500.0,UnReleased
HDCVI Recorders,General Storage,HCVR,1.0.01.01.10911,HCVR5104H-S2-LOREX,HCVR5104H-S2-LOREX,46.0,46.0,55.0,UnReleased
HDCVI Recorders,General Storage,HCVR,1.0.01.01.10919,HCVR4116HS-S2-Tissot-1,HCVR4116HS-ADT-1,162.0,162.0,162.0,UnReleased
HDCVI Recorders,General Storage,HCVR,1.0.01.01.10920,HCVR4116HS-S2-Tissot-2,HCVR4116HS-ADT-2,187.0,187.0,187.0,UnReleased
HDCVI Recorders,General Storage,HCVR,1.0.01.01.10921,HCVR4116HS-S2-Tissot-4,HCVR4116HS-ADT-4,287.0,287.0,287.0,UnReleased
HDCVI Recorders,General Storage,HCVR,1.0.01.01.10923,HCVR4832S-S2,HCVR4832S-S2,265.0,310.0,380.0,UnReleased
HDCVI Recorders,General Storage,ATM,1.0.01.01.10941,HCVR0804AH-VD-I,HCVR0804AH-VD-I,450.0,500.0,600.0,UnReleased
HDCVI Recorders,General Storage,ATM,1.0.01.01.10942,HCVR0404AH-VFD-I,HCVR0404AH-VFD-I,400.0,450.0,550.0,UnReleased
Matrix,Central Control,Display Control,1.0.01.01.10946,M70-4U-E,M70-4U-E,1800.0,2000.0,2500.0,Released
Matrix,Central Control,Display Control,1.0.01.01.10947-0079,DHI-M70-4U-E,DHI-M70-4U-E,1800.0,2000.0,2500.0,Released
HDCVI Recorders,General Storage,HCVR,1.0.01.01.10953,Clearview-HCVR5104H-S2,Clearview-HCVR5104H-S2,,,,UnReleased
HDCVI Recorders,General Storage,HCVR,1.0.01.01.10982,HCVR4432L-S2,HCVR4432L-S2,220.0,260.0,320.0,UnReleased
HDCVI Recorders,General Storage,HCVR,1.0.01.01.11015,DHI-HCVR7104C-S3,DHI-HCVR7104C-S3,42.0,52.0,64.0,UnReleased
